"","aa_umol_m2.11.comps"
"(Intercept)",-6.18386191703867
"Wave_500",8.44811349154578
"Wave_501",7.91992308471368
"Wave_502",7.25806684684342
"Wave_503",6.58667437051018
"Wave_504",6.30748101734585
"Wave_505",6.04052406962335
"Wave_506",4.79918997714296
"Wave_507",3.88769800263566
"Wave_508",3.389739767375
"Wave_509",2.2301582153237
"Wave_510",0.980296651716326
"Wave_511",1.54595979028268
"Wave_512",1.56451331739624
"Wave_513",0.937025843706746
"Wave_514",0.723015112601899
"Wave_515",0.158391437274896
"Wave_516",-0.326758036800398
"Wave_517",-0.475958912873799
"Wave_518",-0.641593144450995
"Wave_519",-0.423842018015309
"Wave_520",-0.510570602904164
"Wave_521",-0.735986018648437
"Wave_522",-0.481843408784814
"Wave_523",0.437111478068546
"Wave_524",1.04478924108089
"Wave_525",0.274321852590284
"Wave_526",-0.795096344542537
"Wave_527",-1.33799288327493
"Wave_528",-1.5022732689792
"Wave_529",-1.06938863383021
"Wave_530",-1.07047855540768
"Wave_531",-0.469026533742834
"Wave_532",-0.239843279283039
"Wave_533",-0.183396334090592
"Wave_534",-0.996449723964627
"Wave_535",-0.987387361585213
"Wave_536",-0.321848988035254
"Wave_537",-0.00111906651923932
"Wave_538",0.514377754053835
"Wave_539",0.872318275012388
"Wave_540",0.642779392150474
"Wave_541",0.98924381100313
"Wave_542",1.28131448595291
"Wave_543",1.61322851272095
"Wave_544",2.10892747185253
"Wave_545",2.16121441189001
"Wave_546",2.06822690478894
"Wave_547",2.27681274151832
"Wave_548",2.67569182451013
"Wave_549",2.91154437048474
"Wave_550",2.79209300695438
"Wave_551",2.74295269114707
"Wave_552",2.88801520120059
"Wave_553",2.82072251907516
"Wave_554",2.27656228943645
"Wave_555",1.21987643882205
"Wave_556",0.0644501127305829
"Wave_557",-0.593504294308573
"Wave_558",-1.40468178515059
"Wave_559",-1.43898425321852
"Wave_560",-1.93045927426476
"Wave_561",-2.56463738754469
"Wave_562",-2.89524651998988
"Wave_563",-2.99598452763737
"Wave_564",-3.12806456031857
"Wave_565",-2.9576331080254
"Wave_566",-2.77385070158135
"Wave_567",-2.43969320836425
"Wave_568",-2.24291834670922
"Wave_569",-2.17645237744791
"Wave_570",-2.38541589104632
"Wave_571",-2.66593697297497
"Wave_572",-2.53112067342823
"Wave_573",-2.68430123846131
"Wave_574",-2.59306938634821
"Wave_575",-2.73512580937078
"Wave_576",-2.65719369647154
"Wave_577",-2.88503700724282
"Wave_578",-3.2862413527546
"Wave_579",-3.07376251441992
"Wave_580",-2.86625049200419
"Wave_581",-2.59861707928264
"Wave_582",-2.26351149246288
"Wave_583",-2.32940108550427
"Wave_584",-2.77888112214189
