"","C_N_m2.12.comps"
"(Intercept)",26.4441227038591
"Wave_500",5.82284366305301
"Wave_501",5.78110938997813
"Wave_502",6.63287204614804
"Wave_503",8.20357153134122
"Wave_504",9.06573398591034
"Wave_505",10.3638430190667
"Wave_506",11.5444093694536
"Wave_507",12.6684054262543
"Wave_508",12.5341866817538
"Wave_509",12.0553080412538
"Wave_510",14.2944947822326
"Wave_511",16.6961278581485
"Wave_512",18.6776070560772
"Wave_513",19.3498101228512
"Wave_514",20.2753974426027
"Wave_515",19.6125744776388
"Wave_516",17.5754136927312
"Wave_517",14.97208807799
"Wave_518",14.0006495872997
"Wave_519",13.8128927825847
"Wave_520",14.8096066214038
"Wave_521",14.520482661407
"Wave_522",11.6319689320263
"Wave_523",8.25114399717097
"Wave_524",4.78168628530656
"Wave_525",2.33725004319879
"Wave_526",1.14673660221931
"Wave_527",0.57109084257922
"Wave_528",-0.704334801694838
"Wave_529",-2.30632318666857
"Wave_530",-3.34559710768605
"Wave_531",-5.36691321070989
"Wave_532",-7.62054919133107
"Wave_533",-9.00801957097113
"Wave_534",-9.46159385320344
"Wave_535",-10.3617272443469
"Wave_536",-10.9690605998996
"Wave_537",-11.9100092287954
"Wave_538",-13.5210859760382
"Wave_539",-13.5545280887421
"Wave_540",-13.4428325377081
"Wave_541",-12.6742896747866
"Wave_542",-12.4340444694549
"Wave_543",-11.267070957756
"Wave_544",-11.4849962795354
"Wave_545",-12.2378431238939
"Wave_546",-13.256225466048
"Wave_547",-15.0390167306351
"Wave_548",-14.9673101045865
"Wave_549",-14.7592656688358
"Wave_550",-14.5338087859715
"Wave_551",-12.9607550474324
"Wave_552",-12.207210540795
"Wave_553",-11.6754494934222
"Wave_554",-9.85772455949921
"Wave_555",-7.49242625434797
"Wave_556",-5.19151048987018
"Wave_557",-3.10947861752885
"Wave_558",-1.88654504286973
"Wave_559",-0.0394842782279006
"Wave_560",0.508204469412561
"Wave_561",2.12676184703339
"Wave_562",3.5045006970327
"Wave_563",3.38338252935763
"Wave_564",3.47279206977983
"Wave_565",3.52986922547328
"Wave_566",3.30993667090698
"Wave_567",2.98744960365177
"Wave_568",2.98798950937961
"Wave_569",3.10078424213854
"Wave_570",4.15484925841309
"Wave_571",4.01707924520581
"Wave_572",4.46180145948296
"Wave_573",5.25241534627113
"Wave_574",5.95951259093463
"Wave_575",7.07754332815474
"Wave_576",7.69801077393913
"Wave_577",8.04992934268227
"Wave_578",9.47101703025001
"Wave_579",9.93687299494252
"Wave_580",9.96759190074517
"Wave_581",10.1295555359578
"Wave_582",10.1178675615106
"Wave_583",9.99232875491784
"Wave_584",9.7423294934641
"Wave_585",9.9064118546527
"Wave_586",9.44885655722533
"Wave_587",9.11453693296141
"Wave_588",8.45325693879674
"Wave_589",7.44578205091043
"Wave_590",6.24798577130929
"Wave_591",5.10591500499155
"Wave_592",4.45103161109383
"Wave_593",3.73557396069374
"Wave_594",2.49713955337085
"Wave_595",1.25726903542871
"Wave_596",0.44129620640583
"Wave_597",-0.434390886504813
"Wave_598",-1.4105043445331
"Wave_599",-1.82579616355795
"Wave_600",-2.30849524402345
"Wave_601",-2.6635392777096
"Wave_602",-3.18903612194216
"Wave_603",-2.96768361726079
"Wave_604",-2.63831368897396
"Wave_605",-1.93900113431017
"Wave_606",-1.32007528141245
"Wave_607",-0.331668126538078
"Wave_608",0.520755090231285
"Wave_609",1.61599718338528
"Wave_610",3.03243158347775
"Wave_611",4.26858112621834
"Wave_612",5.03449770632531
"Wave_613",5.69466117050111
"Wave_614",7.1724206941302
"Wave_615",8.73225681362907
"Wave_616",9.42593944512958
"Wave_617",9.33106290326222
"Wave_618",9.92189357311432
"Wave_619",10.1485507523439
"Wave_620",10.5439385742926
"Wave_621",11.0313485437635
"Wave_622",11.4877088968425
"Wave_623",11.4885468185771
"Wave_624",11.2744493538174
"Wave_625",11.6922715096774
"Wave_626",11.8666178217828
"Wave_627",11.6449613100575
"Wave_628",11.4139864483707
"Wave_629",10.4000460810279
"Wave_630",9.34081114192062
"Wave_631",8.08027068263713
"Wave_632",6.36445942647922
"Wave_633",4.4755303501727
"Wave_634",3.04723495852213
"Wave_635",1.50124228704672
"Wave_636",-0.400721775629752
"Wave_637",-2.27579889628706
"Wave_638",-4.74093490723167
"Wave_639",-7.91792252871373
"Wave_640",-10.9875570285191
"Wave_641",-13.055228118247
"Wave_642",-15.6962217346968
"Wave_643",-18.6268493872521
"Wave_644",-19.7917107904525
"Wave_645",-20.4832865712852
"Wave_646",-21.6244713816374
"Wave_647",-23.5035639264695
"Wave_648",-23.8116425026356
"Wave_649",-24.1185102843114
"Wave_650",-24.4459336646561
"Wave_651",-23.5154947168287
"Wave_652",-23.2298291748806
"Wave_653",-22.6304558166104
"Wave_654",-21.5734164541507
"Wave_655",-20.9730853597381
"Wave_656",-19.1030983566126
"Wave_657",-17.0087189302335
"Wave_658",-15.0072219231328
"Wave_659",-13.4967374988058
"Wave_660",-12.0193979672882
"Wave_661",-9.99437238190286
"Wave_662",-8.51617403329402
"Wave_663",-6.70680727943559
"Wave_664",-4.62630748888927
"Wave_665",-2.82338909844033
"Wave_666",-0.726124807170897
"Wave_667",0.900180562670543
"Wave_668",1.80575059651669
"Wave_669",2.76016237888695
"Wave_670",4.15948732007038
"Wave_671",4.98952213087431
"Wave_672",5.53574121868895
"Wave_673",6.17840290660824
"Wave_674",6.64127957735793
"Wave_675",6.25445978952412
"Wave_676",6.03867469821394
"Wave_677",5.51628015255246
"Wave_678",5.25861732188163
"Wave_679",4.93985497246334
"Wave_680",3.84183057766031
"Wave_681",2.74645798922949
"Wave_682",2.12907160006344
"Wave_683",0.433486935274631
"Wave_684",-1.04658033531182
"Wave_685",-2.55753486542715
"Wave_686",-2.46589044141057
"Wave_687",-1.10181234698156
"Wave_688",-0.29671434208247
"Wave_689",-0.048501848722772
"Wave_690",2.49575729678437
"Wave_691",5.49874217539197
"Wave_692",6.30722440012813
"Wave_693",8.8239878703066
"Wave_694",11.9884839990611
"Wave_695",12.8204725305275
"Wave_696",13.0757253102331
"Wave_697",13.7757038911779
"Wave_698",12.9031741230683
"Wave_699",10.4289889168553
"Wave_700",9.71155002223944
"Wave_701",6.8567564902893
"Wave_702",4.03434876082367
"Wave_703",2.24759939683177
"Wave_704",1.61158513943922
"Wave_705",-0.738886154159007
"Wave_706",-3.15410433439854
"Wave_707",-3.70361415449818
"Wave_708",-3.26428508066117
"Wave_709",-5.27418419668131
"Wave_710",-6.38775454545213
"Wave_711",-6.1689513787845
"Wave_712",-5.63527942605704
"Wave_713",-7.31321004066556
"Wave_714",-7.71256470651195
"Wave_715",-6.67730803927983
"Wave_716",-6.29929848552981
"Wave_717",-5.54956013230104
"Wave_718",-4.40468738472942
"Wave_719",-3.34387788773523
"Wave_720",-2.63486167601316
"Wave_721",-1.91765732502015
"Wave_722",-0.542566126034227
"Wave_723",-0.136289826420509
"Wave_724",0.745307373634089
"Wave_725",1.46367823231974
"Wave_726",2.14754250275622
"Wave_727",2.88101510938229
"Wave_728",2.9187476891359
"Wave_729",3.42945000816621
"Wave_730",4.21963294246406
"Wave_731",4.77137545851975
"Wave_732",5.44643598857049
"Wave_733",6.1003848075357
"Wave_734",6.3438188724776
"Wave_735",6.61327061307895
"Wave_736",6.97956585754989
"Wave_737",7.24867568734708
"Wave_738",6.89258763092132
"Wave_739",6.03034316906326
"Wave_740",4.7684304455983
"Wave_741",3.81684954586286
"Wave_742",2.2299873047838
"Wave_743",3.53197374975392
"Wave_744",2.45055762432315
"Wave_745",1.75467985786981
"Wave_746",0.848094319449011
"Wave_747",0.394669467369428
"Wave_748",0.298869772170951
"Wave_749",0.457749327164799
"Wave_750",0.602515594196787
"Wave_751",0.680475039088884
"Wave_752",0.0663495380778151
"Wave_753",0.439850298272189
"Wave_754",1.28796934639984
"Wave_755",2.2271768306275
"Wave_756",2.52379914226323
"Wave_757",3.30012685270871
"Wave_758",2.49562764367346
"Wave_759",2.54753455820317
"Wave_760",2.20824277091
"Wave_761",0.879816082388915
"Wave_762",1.0800232131193
"Wave_763",2.14658257457199
"Wave_764",2.90522238433991
"Wave_765",2.16444152721838
"Wave_766",1.60105122222457
"Wave_767",1.15117745547482
"Wave_768",1.47603319065357
"Wave_769",1.93839311551558
