"","C_g_m2.12.comps"
"(Intercept)",22.712512434632
"Wave_500",12.0224255705595
"Wave_501",10.435790046729
"Wave_502",9.1887516470581
"Wave_503",8.38657756176949
"Wave_504",7.52775938829173
"Wave_505",7.36223233335323
"Wave_506",5.5271532523801
"Wave_507",3.87762568371547
"Wave_508",1.15626515230273
"Wave_509",-1.02349152045377
"Wave_510",-2.33007152968722
"Wave_511",-2.18673485662384
"Wave_512",-1.16064971314297
"Wave_513",-1.36702952023598
"Wave_514",-2.1363536956012
"Wave_515",-3.63030070244505
"Wave_516",-5.6686746798585
"Wave_517",-6.74557410131533
"Wave_518",-6.80323723715367
"Wave_519",-6.7516292949072
"Wave_520",-5.96452002039538
"Wave_521",-5.8080123172684
"Wave_522",-6.38301437694711
"Wave_523",-5.0777401222923
"Wave_524",-4.9196566960759
"Wave_525",-4.81907819022345
"Wave_526",-4.32622950497819
"Wave_527",-3.53107368146196
"Wave_528",-3.0575215356538
"Wave_529",-2.75621858944441
"Wave_530",-1.35701204176863
"Wave_531",-1.1845667014137
"Wave_532",-0.428966293395566
"Wave_533",0.737672059882584
"Wave_534",1.15256495321534
"Wave_535",1.80851070594818
"Wave_536",2.07045640261734
"Wave_537",2.17845810564211
"Wave_538",2.57137658409717
"Wave_539",3.26134463483922
"Wave_540",3.1164373344652
"Wave_541",4.02494943329457
"Wave_542",4.78363424798704
"Wave_543",5.24252803227617
"Wave_544",5.85320785518721
"Wave_545",5.67986348410644
"Wave_546",4.91692434386974
"Wave_547",3.7789401578717
"Wave_548",3.27473258469239
"Wave_549",2.44598620423998
"Wave_550",1.99694902459536
"Wave_551",3.63935168120847
"Wave_552",4.04088800013064
"Wave_553",4.319350171692
"Wave_554",4.77713364073423
"Wave_555",4.0720917155888
"Wave_556",4.01768963636166
"Wave_557",3.94239130829008
"Wave_558",3.01234489789987
"Wave_559",2.77730929090957
"Wave_560",2.71971078436857
"Wave_561",2.13812303500448
"Wave_562",1.14991756624909
"Wave_563",0.872089149706514
"Wave_564",1.11789886647523
"Wave_565",1.36730131879994
"Wave_566",1.21324821492002
"Wave_567",1.14704262962946
"Wave_568",1.32190514125401
"Wave_569",1.10104308633096
"Wave_570",0.676578686474832
"Wave_571",-0.548046081116119
"Wave_572",-0.751036461571816
"Wave_573",-1.0088257401708
"Wave_574",-1.68606541030288
"Wave_575",-1.57079761492854
"Wave_576",-1.40717569127494
"Wave_577",-1.69252920800139
"Wave_578",-1.40092953921939
"Wave_579",-1.19348376600021
"Wave_580",-1.00811308187151
"Wave_581",-0.942411569058837
"Wave_582",-1.02593979345325
"Wave_583",-0.620448011225889
"Wave_584",-0.445453088253131
"Wave_585",-0.253987002761264
"Wave_586",-0.837657046134646
"Wave_587",-1.00379401241073
"Wave_588",-0.737708562736865
