"","fructose_umol_m2.10.comps"
"(Intercept)",6.87194967052724
"Wave_500",-1.01074631746615
"Wave_501",-0.773552297493566
"Wave_502",-0.780615891150063
"Wave_503",-0.705482698468853
"Wave_504",-0.736258435861566
"Wave_505",-0.718642217931784
"Wave_506",-0.617140807306645
"Wave_507",-0.383926988763333
"Wave_508",-0.192934699673088
"Wave_509",-0.158708504408916
"Wave_510",0.13748217008285
"Wave_511",0.156314436063628
"Wave_512",-0.134952428520119
"Wave_513",-0.233645808725785
"Wave_514",-0.503096118887384
"Wave_515",-0.610394535032944
"Wave_516",-0.62998786563359
"Wave_517",-0.479615183759424
"Wave_518",-0.392294458667065
"Wave_519",-0.313554596891885
"Wave_520",-0.591972247214692
"Wave_521",-0.593790819494588
"Wave_522",-0.501587636093454
"Wave_523",-0.533852993544411
"Wave_524",-0.619908371784211
"Wave_525",-0.423428471350267
"Wave_526",-0.275572500485095
"Wave_527",-0.465708807136278
"Wave_528",-0.332440052688638
"Wave_529",-0.0735961287040807
"Wave_530",0.0830596137331178
"Wave_531",0.163581626340543
"Wave_532",0.0830759436672135
"Wave_533",0.0446300769810789
"Wave_534",0.0322789923351157
"Wave_535",0.199714498337521
"Wave_536",0.496271827759424
"Wave_537",0.40090712056567
"Wave_538",0.400739590450583
"Wave_539",0.474607850993458
"Wave_540",0.584533277144825
"Wave_541",0.351078667683309
"Wave_542",0.379133471441893
"Wave_543",0.566894009377412
"Wave_544",0.491082462873228
"Wave_545",0.420944038683238
"Wave_546",0.190123665840399
"Wave_547",0.232144888029029
"Wave_548",0.0164160449196739
"Wave_549",-0.130399374621137
"Wave_550",0.0955484520600015
"Wave_551",0.2730117576754
"Wave_552",0.549432667429217
"Wave_553",0.722967220447295
"Wave_554",0.499467206430695
"Wave_555",0.330693614877017
"Wave_556",0.377068380585606
"Wave_557",0.400728783597508
"Wave_558",0.257318048333054
"Wave_559",0.163286260731027
"Wave_560",0.1022707245564
"Wave_561",-0.052635300497167
"Wave_562",-0.152288051998503
"Wave_563",-0.16803895296312
"Wave_564",-0.267962991868861
"Wave_565",-0.369763103737535
"Wave_566",-0.407739329804985
"Wave_567",-0.527941629652466
"Wave_568",-0.56189456554965
"Wave_569",-0.634254430711364
"Wave_570",-0.756630326981614
"Wave_571",-0.75926533830106
"Wave_572",-0.776778455630053
"Wave_573",-0.787339690134615
"Wave_574",-0.795208657537009
"Wave_575",-0.757433603485752
"Wave_576",-0.765697718641602
"Wave_577",-0.79736620455467
"Wave_578",-0.768784864039066
"Wave_579",-0.727215420109842
"Wave_580",-0.578855582699467
"Wave_581",-0.499695162106556
"Wave_582",-0.552923256413578
"Wave_583",-0.442491045536108
"Wave_584",-0.386940873656341
"Wave_585",-0.351307076270278
"Wave_586",-0.209832672491872
"Wave_587",-0.220181182463925
"Wave_588",-0.166349541319311
"Wave_589",0.0698510320868777
"Wave_590",0.254142764439452
"Wave_591",0.300484008764272
"Wave_592",0.411416922574499
"Wave_593",0.668120579689929
"Wave_594",0.579804259288525
"Wave_595",0.647817253454642
"Wave_596",0.884071244210989
"Wave_597",0.978835583816503
"Wave_598",1.08766420680043
"Wave_599",1.2336032650272
"Wave_600",1.47610873252625
"Wave_601",1.54409473090022
"Wave_602",1.56101025092849
"Wave_603",1.47708919409873
"Wave_604",1.49509083323983
"Wave_605",1.51128948484435
"Wave_606",1.58549948631505
"Wave_607",1.59802972741837
"Wave_608",1.6283229079425
"Wave_609",1.57213551840814
"Wave_610",1.43058018688821
"Wave_611",1.34635427598747
"Wave_612",1.34600661060546
"Wave_613",1.28241375311175
"Wave_614",1.20388014905294
"Wave_615",1.187603490266
"Wave_616",1.23135800539153
"Wave_617",1.07517653231201
"Wave_618",1.0045684120393
"Wave_619",1.23780653188481
"Wave_620",1.25486302818468
"Wave_621",1.19179157450481
"Wave_622",1.31681237573927
"Wave_623",1.27548623535235
"Wave_624",1.10719921197109
"Wave_625",1.02397377760582
"Wave_626",1.07139499977781
"Wave_627",1.1634824454637
"Wave_628",1.2685302723347
"Wave_629",1.30084018896435
"Wave_630",1.34961462529696
"Wave_631",1.2797381616688
"Wave_632",1.24304301890902
"Wave_633",1.31821376156738
"Wave_634",1.36953703972702
"Wave_635",1.59343946840903
"Wave_636",1.85668064944006
"Wave_637",2.00902198787481
"Wave_638",2.12007982237719
"Wave_639",2.3089697148659
"Wave_640",2.5698562715858
"Wave_641",2.74296073981081
"Wave_642",2.93876154316298
"Wave_643",3.20412725077355
"Wave_644",3.38380663114445
"Wave_645",3.43900614678516
"Wave_646",3.43039798943783
"Wave_647",3.42502443043257
"Wave_648",3.46540513215137
"Wave_649",3.34124394908138
"Wave_650",3.22588398552016
"Wave_651",3.0845210792585
"Wave_652",2.99794752499856
"Wave_653",2.80782733514912
"Wave_654",2.63650545707907
"Wave_655",2.50549412372575
"Wave_656",2.2885958971863
"Wave_657",2.08453803762671
"Wave_658",1.78613821040404
"Wave_659",1.554060617752
"Wave_660",1.23916612590469
"Wave_661",0.89507013756683
"Wave_662",0.526061455338417
"Wave_663",0.320976567057113
"Wave_664",-0.0706757302737868
"Wave_665",-0.440313226800684
"Wave_666",-0.81257664601655
"Wave_667",-1.33954111066269
"Wave_668",-1.7547059328624
"Wave_669",-2.1268933307187
"Wave_670",-2.42241448989733
"Wave_671",-2.73540879379477
"Wave_672",-2.92745820061397
"Wave_673",-3.1209902652288
"Wave_674",-3.4332354630418
"Wave_675",-3.85235086520414
"Wave_676",-4.12282025120465
"Wave_677",-4.43577008537397
"Wave_678",-4.70996486409582
"Wave_679",-4.72130642052243
"Wave_680",-4.78112968009196
"Wave_681",-4.87596887367583
"Wave_682",-4.86523269471764
"Wave_683",-4.61824822265294
"Wave_684",-4.40277891466834
"Wave_685",-4.09317672061054
"Wave_686",-3.71348436272465
"Wave_687",-3.3842647471152
"Wave_688",-2.88143295794206
"Wave_689",-2.32175433775358
"Wave_690",-2.19261734852073
"Wave_691",-2.35141313063644
"Wave_692",-2.30229410008636
"Wave_693",-2.44350206414901
"Wave_694",-2.7771684351559
"Wave_695",-2.87228099577421
"Wave_696",-3.24446270487484
"Wave_697",-3.72053417196329
"Wave_698",-4.00751494879964
"Wave_699",-4.09212852712322
"Wave_700",-4.30013243848623
"Wave_701",-4.19638587454116
"Wave_702",-4.23552858444762
"Wave_703",-4.05469112385845
"Wave_704",-3.99689688253458
"Wave_705",-3.57583785606786
"Wave_706",-3.12119199286087
"Wave_707",-2.69585564865217
"Wave_708",-2.39695319422214
"Wave_709",-1.80512744976574
"Wave_710",-1.16965514086952
"Wave_711",-0.657909386326338
"Wave_712",-0.33926821624182
"Wave_713",0.162389157503061
"Wave_714",0.710286134845185
"Wave_715",1.04585902628823
"Wave_716",1.34989896346798
"Wave_717",1.64070071890466
"Wave_718",1.84899169147273
"Wave_719",1.94667839754957
"Wave_720",2.02307232432897
"Wave_721",2.0920231478686
"Wave_722",2.08300276442116
"Wave_723",2.0776278758254
"Wave_724",1.93610840544375
"Wave_725",1.73541443180201
"Wave_726",1.68184044667445
"Wave_727",1.52845331544893
"Wave_728",1.51941376285032
