"","glucose_umol_m2.8.comps"
"(Intercept)",5.97693966544807
"Wave_500",1.02114337330513
"Wave_501",0.965495839838795
"Wave_502",0.893090607038222
"Wave_503",0.800295884487048
"Wave_504",0.64701586589519
"Wave_505",0.532260562796531
"Wave_506",0.387291091513112
"Wave_507",0.240408919650872
"Wave_508",0.102305929687662
"Wave_509",-0.0337974477668168
"Wave_510",-0.128521538491867
"Wave_511",-0.263533249687053
"Wave_512",-0.417102191072996
"Wave_513",-0.518001942628344
"Wave_514",-0.640266109974752
"Wave_515",-0.765304074760712
"Wave_516",-0.895468632623301
"Wave_517",-1.01597228028113
"Wave_518",-1.09975349441831
"Wave_519",-1.1590085172395
"Wave_520",-1.22804280539816
"Wave_521",-1.25420976176412
"Wave_522",-1.28135544642736
"Wave_523",-1.26858646559241
"Wave_524",-1.30340161489862
"Wave_525",-1.28134170166116
"Wave_526",-1.24787605234344
"Wave_527",-1.22699320827837
"Wave_528",-1.16416225290501
"Wave_529",-1.07430292882751
"Wave_530",-0.976023335403248
"Wave_531",-0.933321708572667
"Wave_532",-0.883169786053543
"Wave_533",-0.791978459447588
"Wave_534",-0.726614265628776
"Wave_535",-0.655214957780434
"Wave_536",-0.59542845625247
"Wave_537",-0.511382320025866
"Wave_538",-0.426047058421445
"Wave_539",-0.350216341704409
"Wave_540",-0.30791153384484
"Wave_541",-0.232635213618336
"Wave_542",-0.160997015510916
"Wave_543",-0.0978630435139412
"Wave_544",-0.0408323597537312
"Wave_545",-0.00156964795800801
"Wave_546",0.00475686632233108
"Wave_547",0.0163451402012161
"Wave_548",0.0446197540519992
"Wave_549",0.0543022305058961
"Wave_550",0.0750787809177986
"Wave_551",0.137583253107518
"Wave_552",0.177331044127071
"Wave_553",0.197169426020999
"Wave_554",0.245275820992093
"Wave_555",0.240701413259722
"Wave_556",0.241040178619818
"Wave_557",0.294266577151748
"Wave_558",0.304503700717206
"Wave_559",0.322551294579557
"Wave_560",0.360412400892844
"Wave_561",0.360387101154495
"Wave_562",0.383252570559974
"Wave_563",0.410152095031914
"Wave_564",0.398799199803495
"Wave_565",0.42992412646848
"Wave_566",0.452442871770114
"Wave_567",0.460684887363332
"Wave_568",0.468149343120808
"Wave_569",0.476275239876625
"Wave_570",0.470477509404374
"Wave_571",0.451880446399158
"Wave_572",0.470406668901048
"Wave_573",0.464945146763471
"Wave_574",0.449967925079334
"Wave_575",0.474422272920817
"Wave_576",0.483456088888849
"Wave_577",0.479023311384846
"Wave_578",0.468072925320969
"Wave_579",0.479295646554032
"Wave_580",0.48817932026262
"Wave_581",0.485915700309679
"Wave_582",0.505209049175912
"Wave_583",0.490698928949355
"Wave_584",0.468265960394532
"Wave_585",0.497462086819666
"Wave_586",0.503358557535511
"Wave_587",0.505184020465142
"Wave_588",0.496170666136527
"Wave_589",0.484374227329374
"Wave_590",0.479934710172356
"Wave_591",0.48709707317738
"Wave_592",0.505951083537546
"Wave_593",0.549503529070465
"Wave_594",0.534741528053547
"Wave_595",0.505710841419266
"Wave_596",0.523384013580389
"Wave_597",0.532686263059101
"Wave_598",0.530942751429477
"Wave_599",0.54009282020405
"Wave_600",0.566501882381065
"Wave_601",0.578945653426331
"Wave_602",0.582212896306563
"Wave_603",0.577208210626972
"Wave_604",0.59669016906779
"Wave_605",0.612278386187258
"Wave_606",0.629573904446823
"Wave_607",0.627256449197496
"Wave_608",0.633560392737056
"Wave_609",0.636630707445988
"Wave_610",0.636657675716148
"Wave_611",0.646276609235704
"Wave_612",0.634237191387628
"Wave_613",0.639067051013449
"Wave_614",0.634456972419607
"Wave_615",0.655260952218015
"Wave_616",0.657485646574693
"Wave_617",0.645565849260494
"Wave_618",0.655166566367992
"Wave_619",0.67738026712267
"Wave_620",0.676097442234446
"Wave_621",0.670840047565701
"Wave_622",0.697002502213978
"Wave_623",0.703155743737668
"Wave_624",0.702188949257901
"Wave_625",0.687755122074225
"Wave_626",0.664285050395275
"Wave_627",0.65078593387523
"Wave_628",0.649141379832438
"Wave_629",0.662041961720439
"Wave_630",0.667132010464214
"Wave_631",0.661628521303334
"Wave_632",0.643128971322496
"Wave_633",0.611303813625043
"Wave_634",0.580174117847102
"Wave_635",0.583873202412939
"Wave_636",0.618323100773988
"Wave_637",0.641826181137647
"Wave_638",0.68129054411163
"Wave_639",0.706259279228383
"Wave_640",0.719823749330553
"Wave_641",0.740030898977856
"Wave_642",0.786549514394032
"Wave_643",0.822276470471954
"Wave_644",0.862258861620844
"Wave_645",0.909011970696877
"Wave_646",0.950057850436968
"Wave_647",0.987859119660904
"Wave_648",1.04192951949304
"Wave_649",1.06725277954528
"Wave_650",1.09192086233213
"Wave_651",1.11082705524491
"Wave_652",1.12820829280368
"Wave_653",1.13146395632044
"Wave_654",1.12926908385437
"Wave_655",1.13294038586906
"Wave_656",1.15537883538512
"Wave_657",1.16807994818439
"Wave_658",1.17456429325419
"Wave_659",1.15050478647558
"Wave_660",1.13656973940954
"Wave_661",1.1360454788653
"Wave_662",1.13058557372356
"Wave_663",1.15647047647941
"Wave_664",1.18203687755186
"Wave_665",1.17591957890883
"Wave_666",1.14820274745305
"Wave_667",1.09426612869367
"Wave_668",1.05015778330438
"Wave_669",0.996127399539938
"Wave_670",0.94062847281713
"Wave_671",0.876281214513074
"Wave_672",0.794729036314665
"Wave_673",0.716147211023029
"Wave_674",0.613021503874872
"Wave_675",0.484345531274419
"Wave_676",0.36576245031998
"Wave_677",0.243840417224786
"Wave_678",0.112476567381473
"Wave_679",-0.00516946683785727
"Wave_680",-0.133052784251764
"Wave_681",-0.27189228399713
"Wave_682",-0.409005733796137
"Wave_683",-0.537219808644135
"Wave_684",-0.665169558443439
"Wave_685",-0.794064619500712
"Wave_686",-0.905822060861819
"Wave_687",-1.01618237176421
"Wave_688",-1.11908174533422
"Wave_689",-1.2338659102778
"Wave_690",-1.35932818665234
"Wave_691",-1.49918256301748
