"","H20_g_m2.11.comps"
"(Intercept)",163.041368141853
"Wave_500",-28.938314171016
"Wave_501",-31.074103812018
"Wave_502",-31.0591441549589
"Wave_503",-31.9010490461031
"Wave_504",-31.2370609725101
"Wave_505",-34.5757029026231
"Wave_506",-42.8389378015949
"Wave_507",-47.6672492172063
"Wave_508",-48.1007077879276
"Wave_509",-45.4734229586886
"Wave_510",-48.39025272754
"Wave_511",-44.3941646117604
"Wave_512",-39.8340865610439
"Wave_513",-34.8226419569916
"Wave_514",-34.4714456835338
"Wave_515",-34.9093090548813
"Wave_516",-38.8139777180166
"Wave_517",-43.8364567022491
"Wave_518",-42.375216356148
"Wave_519",-38.5711166649238
"Wave_520",-35.0942536818307
"Wave_521",-34.3965565817006
"Wave_522",-30.2741931269833
"Wave_523",-26.2797807219418
"Wave_524",-22.67578736818
"Wave_525",-19.3439731910641
"Wave_526",-13.8626790395881
"Wave_527",-6.77047170776573
"Wave_528",-4.50200648331205
"Wave_529",-2.8638929183884
"Wave_530",1.08578835606078
"Wave_531",5.94656636686764
"Wave_532",14.2717615780281
"Wave_533",19.7821561394504
"Wave_534",19.9362233300341
"Wave_535",22.6237025528963
"Wave_536",24.9500975478705
"Wave_537",28.7804694467904
"Wave_538",33.4109901558099
"Wave_539",36.3201462995067
"Wave_540",37.2677506782248
"Wave_541",39.6587328619543
"Wave_542",41.0821201849
"Wave_543",39.3293084817421
"Wave_544",39.085804516653
"Wave_545",37.7073455704965
"Wave_546",40.2325478827019
"Wave_547",37.4418267791595
"Wave_548",36.119199111436
"Wave_549",37.2619334981202
"Wave_550",36.3125919268976
"Wave_551",34.4245118099235
"Wave_552",31.4857625088545
"Wave_553",27.8931274746113
"Wave_554",25.5069158884766
"Wave_555",21.3881802281797
"Wave_556",19.0097163719377
"Wave_557",16.9276166229544
"Wave_558",13.4529815498164
"Wave_559",11.4852035680636
"Wave_560",8.98746009832757
"Wave_561",6.33782631687349
"Wave_562",2.77270619314057
"Wave_563",-3.64567321502292
"Wave_564",-6.26023448042485
"Wave_565",-7.40360201429983
"Wave_566",-9.35772220964614
"Wave_567",-11.6944473334731
"Wave_568",-14.386091690025
"Wave_569",-14.9905973923018
"Wave_570",-18.7312867544481
"Wave_571",-21.5378710604385
"Wave_572",-23.5226066643964
"Wave_573",-23.1799935661796
"Wave_574",-25.5983500214047
"Wave_575",-29.5924617255495
"Wave_576",-31.7673271233584
"Wave_577",-33.2382590169417
"Wave_578",-31.4984760480458
"Wave_579",-30.0342590848595
"Wave_580",-28.8227331687649
"Wave_581",-29.9772777159549
"Wave_582",-29.751894077563
"Wave_583",-29.8588746042173
"Wave_584",-30.7014445610188
"Wave_585",-30.6732639542585
"Wave_586",-30.283633357471
"Wave_587",-29.6354160618946
"Wave_588",-30.017117869803
"Wave_589",-28.7903121760745
"Wave_590",-27.6979376570502
"Wave_591",-26.4570047634034
"Wave_592",-26.1212208414814
"Wave_593",-25.8278125660559
"Wave_594",-22.6708260043603
"Wave_595",-21.0704808168017
"Wave_596",-20.7170763461575
"Wave_597",-20.9189405444943
"Wave_598",-20.5693336494193
"Wave_599",-19.0764277979475
"Wave_600",-20.6919406405945
"Wave_601",-22.3467759752123
"Wave_602",-22.2848144585418
"Wave_603",-20.7129048904204
"Wave_604",-21.776000143294
"Wave_605",-21.5292878331139
"Wave_606",-20.4261310097305
"Wave_607",-19.6693503971806
"Wave_608",-19.203122321349
"Wave_609",-20.6257460427803
"Wave_610",-22.1178774167693
"Wave_611",-23.4536874568792
"Wave_612",-23.1953986097881
"Wave_613",-20.508684722281
"Wave_614",-17.3729192793468
"Wave_615",-18.2544021918591
"Wave_616",-19.6739954774822
"Wave_617",-20.5605118144125
"Wave_618",-20.6382867504736
"Wave_619",-18.6054671845935
"Wave_620",-15.8341827668324
"Wave_621",-12.6684087868486
"Wave_622",-11.0049210898694
"Wave_623",-11.6742783102364
"Wave_624",-12.1001647069558
"Wave_625",-11.2445213342456
"Wave_626",-11.3509967170622
"Wave_627",-10.3406894896452
"Wave_628",-9.0146215510726
"Wave_629",-8.49877243598906
"Wave_630",-7.26131147520231
"Wave_631",-4.86464470721267
"Wave_632",-2.4516939762503
"Wave_633",-1.50425168798701
"Wave_634",1.32122998705576
"Wave_635",2.46276779219329
"Wave_636",3.82120029086682
"Wave_637",6.81634428222946
"Wave_638",7.2033160906278
"Wave_639",8.79421634304248
"Wave_640",12.4756836821737
"Wave_641",16.1074371719409
"Wave_642",18.9294622091805
"Wave_643",21.774562469273
"Wave_644",23.934728521663
"Wave_645",26.9124695265247
"Wave_646",28.9102014334806
"Wave_647",29.4969439646817
"Wave_648",33.1769856326448
"Wave_649",35.0540844753704
"Wave_650",35.8880368625081
"Wave_651",37.8629981628527
"Wave_652",38.4215768617017
"Wave_653",38.8435817796073
"Wave_654",37.0597312366377
"Wave_655",35.2843517624219
"Wave_656",35.4271938317316
"Wave_657",36.114405723147
"Wave_658",37.326179886759
"Wave_659",36.5271630469192
"Wave_660",36.8170689977317
"Wave_661",37.981650673414
"Wave_662",38.7677794140019
"Wave_663",41.4049926227408
"Wave_664",44.5333456845079
"Wave_665",46.7501604054747
"Wave_666",48.0833810076928
"Wave_667",51.7995691736505
"Wave_668",54.334624815171
"Wave_669",56.4235613813967
"Wave_670",58.2602367076363
"Wave_671",60.953851302466
"Wave_672",65.1141698441817
"Wave_673",66.5401386356793
"Wave_674",66.8579311842204
"Wave_675",68.3712148571768
"Wave_676",68.7944712224275
"Wave_677",70.6319231851997
"Wave_678",71.9209266064415
"Wave_679",71.6749406821511
"Wave_680",71.5673854026309
"Wave_681",71.4137460522635
"Wave_682",69.3368161947995
"Wave_683",64.6358694435602
"Wave_684",60.0055878164552
"Wave_685",55.1837081306896
"Wave_686",49.5031340232358
"Wave_687",43.770080372426
"Wave_688",37.1660209726816
"Wave_689",30.2361715184181
"Wave_690",26.8998433556707
"Wave_691",25.9195357291782
"Wave_692",21.5567622893163
"Wave_693",17.1296953855748
"Wave_694",16.1074212293058
"Wave_695",13.612049468185
"Wave_696",9.70124733100864
"Wave_697",8.25279663132493
"Wave_698",8.29604275270886
"Wave_699",6.58954692140833
"Wave_700",6.10200090367703
"Wave_701",1.97235996084013
"Wave_702",-0.795357614015087
"Wave_703",-1.25256406135559
"Wave_704",0.126391223450055
"Wave_705",-1.7581356377271
"Wave_706",-1.13164911763732
"Wave_707",-1.89580197742985
"Wave_708",0.306928950547276
"Wave_709",1.02232798760497
"Wave_710",2.37391419867175
"Wave_711",4.31758882432001
"Wave_712",8.85602350712444
"Wave_713",8.72081997129769
"Wave_714",9.13664776424214
"Wave_715",9.20899268757437
"Wave_716",6.98927595735542
"Wave_717",6.32701726298059
"Wave_718",10.0136428696929
"Wave_719",10.5262775528804
"Wave_720",10.4273772289797
"Wave_721",10.3320132273324
"Wave_722",9.04251221617127
"Wave_723",4.86683053257127
"Wave_724",2.26876951011296
"Wave_725",0.978749371081769
"Wave_726",0.185278765929302
"Wave_727",-0.966792598863705
"Wave_728",-3.28084750407791
"Wave_729",-3.98053877044656
"Wave_730",-3.85312326718956
"Wave_731",-4.12376635853641
"Wave_732",-4.65616082691005
"Wave_733",-5.38086760429575
"Wave_734",-7.60560301235295
"Wave_735",-9.65468165031628
"Wave_736",-10.3922003278227
"Wave_737",-11.3950077532405
"Wave_738",-10.3283053086402
"Wave_739",-5.36076730370097
"Wave_740",-7.58080363811412
"Wave_741",-7.02237912099312
"Wave_742",-7.5091324617487
"Wave_743",-6.74276276149891
"Wave_744",-6.59904014881595
"Wave_745",-5.74811234287348
"Wave_746",-3.89858529334474
"Wave_747",-5.11482892348587
"Wave_748",-6.32576269662723
"Wave_749",-7.23567240095296
"Wave_750",-8.35126896091686
"Wave_751",-10.6801977118925
"Wave_752",-10.2170648187925
"Wave_753",-10.0782255168095
"Wave_754",-12.0724785534379
"Wave_755",-12.3184359620606
"Wave_756",-13.2984377420263
"Wave_757",-14.4300297204676
"Wave_758",-15.7697758354235
"Wave_759",-13.4927103951235
"Wave_760",-12.8312033212845
"Wave_761",-12.1972100827256
"Wave_762",-13.9305507414741
"Wave_763",-19.0125711551402
"Wave_764",-17.4146718318247
"Wave_765",-17.0435129607233
"Wave_766",-17.1750401322349
"Wave_767",-15.1358126421589
"Wave_768",-13.4945065200603
"Wave_769",-15.6087057005443
"Wave_770",-15.469250906283
"Wave_771",-16.8155269235349
"Wave_772",-17.0394367216233
"Wave_773",-15.0363912153206
"Wave_774",-14.7304153070714
"Wave_775",-14.6947785657139
"Wave_776",-14.1255557802736
"Wave_777",-15.6048395236023
"Wave_778",-13.5187233891662
"Wave_779",-9.36988473427681
"Wave_780",-8.65453352469562
"Wave_781",-13.1375706863988
"Wave_782",-11.9931577202044
"Wave_783",-10.6211669786992
"Wave_784",-11.9273547926329
"Wave_785",-9.35665196650285
"Wave_786",-11.6915406416817
"Wave_787",-11.3123682882333
"Wave_788",-10.8240476471502
"Wave_789",-8.27551432507253
"Wave_790",-2.97100949364376
"Wave_791",-4.22711758680918
"Wave_792",-7.08288486660472
"Wave_793",-8.58546069867614
"Wave_794",-8.91230199743134
"Wave_795",-5.2176836937594
"Wave_796",0.489890982787138
"Wave_797",1.73257769887505
"Wave_798",-0.677565369281048
"Wave_799",1.42404509220383
"Wave_800",-0.161377945205322
"Wave_801",-1.86166356221575
"Wave_802",1.21266280285468
"Wave_803",2.52002410955155
"Wave_804",1.65848113670931
"Wave_805",5.30509530546479
"Wave_806",3.25933963894138
"Wave_807",3.9737300283466
"Wave_808",3.56031935571559
"Wave_809",4.19636676764956
"Wave_810",7.97164547540456
"Wave_811",9.13805987034475
"Wave_812",7.95861170878559
"Wave_813",8.71983933106995
"Wave_814",7.59232208791293
"Wave_815",6.66007294207915
"Wave_816",11.406539482628
"Wave_817",9.35647892541295
"Wave_818",4.75073489711301
"Wave_819",9.53999256196618
"Wave_820",14.5740465399703
"Wave_821",18.785040726168
"Wave_822",16.0596567555171
"Wave_823",9.09217304882874
"Wave_824",4.61815732058095
"Wave_825",3.71178930847844
"Wave_826",5.59862245612477
"Wave_827",10.5570130466957
"Wave_828",16.1343508955375
"Wave_829",11.3919901390855
"Wave_830",9.87926064263053
"Wave_831",7.48485821322486
"Wave_832",7.19363240594171
"Wave_833",7.70376528869956
"Wave_834",6.49077959313701
"Wave_835",10.7780435294567
"Wave_836",13.6770265424264
"Wave_837",16.0364950000984
"Wave_838",10.5911583853054
"Wave_839",4.47722377394405
"Wave_840",8.9188833486545
"Wave_841",12.0566034616757
"Wave_842",14.253753539805
"Wave_843",6.02363996420411
"Wave_844",6.30256127065108
"Wave_845",3.17062069545336
"Wave_846",5.17810965794931
"Wave_847",7.72983980632581
"Wave_848",6.0652005316719
"Wave_849",5.90169732713304
"Wave_850",-1.58483122728315
"Wave_851",2.99451537930761
"Wave_852",5.94307921782488
"Wave_853",9.42761300143915
"Wave_854",13.0723217283949
"Wave_855",16.6399230991732
"Wave_856",10.5296754250346
"Wave_857",2.79100227791734
"Wave_858",-0.918230308818753
"Wave_859",-1.80778922477779
"Wave_860",1.34610756295403
"Wave_861",3.40015309291493
"Wave_862",4.86385927825498
"Wave_863",3.52518929613632
"Wave_864",0.100082480057988
"Wave_865",-6.36246108176709
"Wave_866",-5.07580338103772
"Wave_867",3.57193255509564
"Wave_868",6.79533142427835
"Wave_869",5.04398675271933
"Wave_870",1.76881507516544
"Wave_871",2.24756922367631
"Wave_872",-5.29299565600651
"Wave_873",-4.45861561186069
"Wave_874",-3.0576279617157
"Wave_875",-0.189245529775638
"Wave_876",-0.945742774124792
"Wave_877",4.28522211027323
"Wave_878",2.4695855495403
"Wave_879",1.31595713831563
"Wave_880",2.22451796791626
"Wave_881",3.19701924045759
"Wave_882",4.0983391874892
"Wave_883",-5.22171544746636
"Wave_884",4.39243717480352
"Wave_885",-1.0391806643745
"Wave_886",-2.25852368660454
"Wave_887",0.208322121759287
"Wave_888",5.25291010256205
"Wave_889",6.41235568778916
"Wave_890",10.5937850297069
"Wave_891",11.2019277462043
"Wave_892",10.1882234396462
"Wave_893",3.66196516009274
"Wave_894",-6.95390453999451
"Wave_895",8.77963623594082
"Wave_896",0.94493118130598
"Wave_897",0.39984458769311
"Wave_898",-2.72158645473327
