"","N_g_m2.13.comps"
"(Intercept)",0.033593795906508
"Wave_500",1.03256514356042
"Wave_501",1.00399439635929
"Wave_502",0.964595509967633
"Wave_503",1.0810776603516
"Wave_504",1.03160290926025
"Wave_505",1.01071948993592
"Wave_506",0.901731183468141
"Wave_507",0.917237008517687
"Wave_508",0.85364038593952
"Wave_509",0.720267456509048
"Wave_510",0.342713027341693
"Wave_511",0.264892971961191
"Wave_512",0.210069271197881
"Wave_513",0.371518340399833
"Wave_514",0.46175153112312
"Wave_515",0.465663302363117
"Wave_516",0.389148662080843
"Wave_517",0.308689076425032
"Wave_518",0.214043130076112
"Wave_519",0.0818592350105785
"Wave_520",-0.182186865728411
"Wave_521",-0.450569874047298
"Wave_522",-0.440396281645683
"Wave_523",-0.15966730893028
"Wave_524",0.0218084004124293
"Wave_525",-0.0361217332982007
"Wave_526",-0.145502615940512
"Wave_527",-0.313104319334697
"Wave_528",-0.4169659067188
"Wave_529",-0.286529278326058
"Wave_530",-0.222123572529789
"Wave_531",-0.108640155066883
"Wave_532",0.0644944115833347
"Wave_533",0.134762354939454
"Wave_534",0.0794695468237431
"Wave_535",0.0870175759486432
"Wave_536",0.0846280952182645
"Wave_537",0.127055546806207
"Wave_538",0.294932026254108
"Wave_539",0.403687693994244
"Wave_540",0.416084154563467
"Wave_541",0.528064511203909
"Wave_542",0.560931353996102
"Wave_543",0.391248356454157
"Wave_544",0.505930619166999
"Wave_545",0.556004057680831
"Wave_546",0.621404945171313
"Wave_547",0.840871916806714
"Wave_548",0.987878456250546
"Wave_549",0.961432206412235
"Wave_550",0.90002498848946
"Wave_551",0.703190801395684
"Wave_552",0.664887453568187
"Wave_553",0.889275816210729
"Wave_554",0.880816694248012
"Wave_555",0.610818117096807
"Wave_556",0.425651371441271
"Wave_557",0.15602856187365
"Wave_558",-0.0954803304114049
"Wave_559",-0.255807071108012
"Wave_560",-0.424067163863153
"Wave_561",-0.658344024642345
"Wave_562",-0.690016421938675
"Wave_563",-0.618656683515451
"Wave_564",-0.74787070326484
"Wave_565",-0.748389494954807
"Wave_566",-0.692836207741794
"Wave_567",-0.813458837482997
"Wave_568",-0.844637039301677
"Wave_569",-0.807396297205186
"Wave_570",-0.844989871341834
"Wave_571",-0.792211519638272
"Wave_572",-0.800728936842959
"Wave_573",-0.874789543039722
"Wave_574",-0.985092842317231
"Wave_575",-1.01538158088316
"Wave_576",-1.029277695678
"Wave_577",-1.15123011016281
"Wave_578",-1.16556560513378
"Wave_579",-1.1233325866144
"Wave_580",-1.09486622393532
"Wave_581",-1.09901528901681
"Wave_582",-1.02927778343891
"Wave_583",-1.0186771753926
"Wave_584",-1.02497897877774
"Wave_585",-1.02524538718546
"Wave_586",-0.887528236158762
"Wave_587",-0.793801846378997
"Wave_588",-0.75956192274204
"Wave_589",-0.663162081351989
"Wave_590",-0.57099236740876
"Wave_591",-0.490715091158243
