"","nitrate_umol_m2.10.comps"
"(Intercept)",-7.39277167091693
"Wave_500",0.639075664773279
"Wave_501",0.656879905816231
"Wave_502",0.81540097388378
"Wave_503",0.966249281485055
"Wave_504",0.95506136655981
"Wave_505",0.689059014146025
"Wave_506",0.229502544015016
"Wave_507",0.471675058762148
"Wave_508",0.794101595550697
"Wave_509",0.807173510715401
"Wave_510",0.221958366816908
"Wave_511",-0.33694742883348
"Wave_512",-0.498255653800113
"Wave_513",-0.120288349871848
"Wave_514",0.0539073607720763
"Wave_515",-0.221653356330256
"Wave_516",-0.355961122316804
"Wave_517",0.00968639968119517
"Wave_518",0.195189569488412
"Wave_519",0.1216667654344
"Wave_520",-0.215336976712049
"Wave_521",-0.24981648020113
"Wave_522",0.250957960176458
"Wave_523",0.341174920547725
"Wave_524",0.787699498896468
"Wave_525",1.1644204401338
"Wave_526",0.900311129002066
"Wave_527",0.798232271969624
"Wave_528",0.800051719286362
"Wave_529",0.859119928706014
"Wave_530",0.695199431778685
"Wave_531",0.645368536104716
"Wave_532",0.696733233731398
"Wave_533",0.642963018634264
"Wave_534",0.574472508532062
"Wave_535",0.902578108021472
"Wave_536",1.1743705223353
"Wave_537",1.08465413876578
"Wave_538",1.20568631485605
"Wave_539",1.2817661331793
"Wave_540",1.06488998869542
"Wave_541",0.989256009864071
"Wave_542",0.935621927137091
"Wave_543",1.12644211562747
"Wave_544",1.32793323756865
"Wave_545",1.37648550343217
"Wave_546",1.47279573525721
"Wave_547",1.60450068082016
"Wave_548",1.7426504207812
"Wave_549",1.93979000115157
"Wave_550",2.2669816867974
"Wave_551",2.12830269438188
"Wave_552",2.19319085246407
"Wave_553",2.16854895404977
"Wave_554",1.96672794415188
"Wave_555",1.26055334128641
"Wave_556",0.8240232572919
"Wave_557",0.319130613783353
"Wave_558",0.100308502521189
"Wave_559",-0.225306685680634
"Wave_560",-0.610869220603705
"Wave_561",-0.960407569817193
"Wave_562",-1.07726393831416
"Wave_563",-1.05008260132328
"Wave_564",-1.40484283052854
"Wave_565",-1.37287005316536
"Wave_566",-1.20433022328142
"Wave_567",-1.32690029571995
"Wave_568",-1.51698296262252
"Wave_569",-1.5071522592348
"Wave_570",-1.7254082602691
"Wave_571",-1.99922343512752
"Wave_572",-1.87644974537537
"Wave_573",-1.88827112081262
"Wave_574",-1.99269030102353
"Wave_575",-2.23577399764599
"Wave_576",-2.2776509298748
"Wave_577",-2.42774197970045
"Wave_578",-2.61141927378254
"Wave_579",-2.61541962190502
"Wave_580",-2.56956269396727
"Wave_581",-2.31168815913507
"Wave_582",-2.11550237190696
"Wave_583",-2.14348386045315
"Wave_584",-2.11672113743269
"Wave_585",-2.13663552235545
"Wave_586",-1.96560210378996
"Wave_587",-1.80035596132359
"Wave_588",-1.65772185661902
"Wave_589",-1.3282141794442
"Wave_590",-0.992074503226259
"Wave_591",-0.82020482804247
"Wave_592",-0.741527068529876
"Wave_593",-0.66485197757301
