"","protein_mg_m2.12.comps"
"(Intercept)",2.95620847485991
"Wave_500",1.47165016218671
"Wave_501",1.27040272748474
"Wave_502",0.842698768933229
"Wave_503",-0.122921446986001
"Wave_504",-0.419155154095262
"Wave_505",-0.0820406598143719
"Wave_506",-0.696644632882024
"Wave_507",-0.64505654883466
"Wave_508",-0.763770375979802
"Wave_509",-1.1340487830018
"Wave_510",-1.95591832857762
"Wave_511",-2.31308217139793
"Wave_512",-2.31769178815386
"Wave_513",-2.17551101774366
"Wave_514",-2.10380171283797
"Wave_515",-2.15870552347219
"Wave_516",-2.39711176037708
"Wave_517",-2.55442540457572
"Wave_518",-2.41876655797371
"Wave_519",-2.36464478188335
"Wave_520",-2.25951259461536
"Wave_521",-2.27909479829638
"Wave_522",-1.57571279630572
"Wave_523",-0.667199253611248
"Wave_524",-0.281094563671677
"Wave_525",-0.442300166167659
"Wave_526",-0.377403864836829
"Wave_527",-0.052246159774718
"Wave_528",0.32762107742304
"Wave_529",0.910598680577102
"Wave_530",1.40891532022598
"Wave_531",1.84398961218889
"Wave_532",2.34280282162095
"Wave_533",2.28854851707089
"Wave_534",2.32798960960766
"Wave_535",2.97592256423828
"Wave_536",3.6568424222408
"Wave_537",4.14830166715589
"Wave_538",4.87210063006864
"Wave_539",4.91752484260048
"Wave_540",4.32390739397172
"Wave_541",4.45348383480842
"Wave_542",4.55250061305831
"Wave_543",4.64087137873749
"Wave_544",5.37229210836676
"Wave_545",5.58002644717983
"Wave_546",5.63746432149175
"Wave_547",5.44334643947114
"Wave_548",4.82430732698657
"Wave_549",4.57749540357928
"Wave_550",5.08791574831112
"Wave_551",5.01540608232194
"Wave_552",4.98455085746516
"Wave_553",5.2029138913891
"Wave_554",4.58879927808045
"Wave_555",3.53748397741366
"Wave_556",2.84812801649153
"Wave_557",2.16873872172339
"Wave_558",1.38792840937111
"Wave_559",0.823656694219845
"Wave_560",0.229125908590599
"Wave_561",-0.0860312476743043
"Wave_562",-0.458602566311052
"Wave_563",-0.942604029722884
"Wave_564",-1.41504400615424
"Wave_565",-1.56603641225426
"Wave_566",-1.80648407922714
"Wave_567",-1.75605167515259
"Wave_568",-1.81462292452094
"Wave_569",-2.12794534824819
"Wave_570",-2.41959066033963
"Wave_571",-2.65700841250106
"Wave_572",-2.9096189296187
"Wave_573",-3.50418309718961
"Wave_574",-4.1439628337144
"Wave_575",-4.45092468589233
"Wave_576",-4.7803595581317
"Wave_577",-5.17806450614324
"Wave_578",-5.0826170615248
