"","starch_umol_Glc_m2.12.comps"
"(Intercept)",-1.35372275385254
"Wave_500",23.1791283208934
"Wave_501",28.6229027669697
"Wave_502",28.1155737911164
"Wave_503",22.06042100637
"Wave_504",20.3256449234334
"Wave_505",24.4378881158746
"Wave_506",26.0491989545146
"Wave_507",27.6780044401409
"Wave_508",28.8043452739813
"Wave_509",25.5684138886432
"Wave_510",23.5677159240722
"Wave_511",26.2696564509742
"Wave_512",29.9041909092962
"Wave_513",31.1736462863077
"Wave_514",28.7071229520674
"Wave_515",24.8679476246736
"Wave_516",20.9622265049234
"Wave_517",16.025772460021
"Wave_518",14.1570939380973
"Wave_519",12.1230125441653
"Wave_520",11.7004790962111
"Wave_521",9.55818307231232
"Wave_522",4.64135885926643
"Wave_523",2.13964421369801
"Wave_524",-4.71697938037151
"Wave_525",-9.38246850592891
"Wave_526",-12.5118853865296
"Wave_527",-12.5349483937496
"Wave_528",-13.7484049522945
"Wave_529",-13.6829207385443
"Wave_530",-12.5262310314483
"Wave_531",-12.9665439052806
"Wave_532",-14.0526387827929
"Wave_533",-13.2624385536239
"Wave_534",-10.6077316026206
"Wave_535",-8.91290749699389
"Wave_536",-6.17963763787087
"Wave_537",-4.98242180575788
"Wave_538",-3.82933251031699
"Wave_539",0.420502048310136
"Wave_540",-0.143982854885381
"Wave_541",-1.07950545693043
"Wave_542",0.144601272578869
"Wave_543",4.04760840302969
"Wave_544",5.49928123088578
"Wave_545",6.91724019876107
"Wave_546",3.88714150849283
"Wave_547",2.4789144692064
"Wave_548",2.08538501667876
"Wave_549",2.8646355649418
"Wave_550",4.38410191046027
"Wave_551",9.81378747604036
"Wave_552",11.6471950417306
"Wave_553",6.80537933433886
"Wave_554",4.01996688293677
"Wave_555",3.15821129489749
"Wave_556",0.716161585672726
"Wave_557",2.7246803536958
"Wave_558",2.87047324606444
"Wave_559",2.48298809522018
"Wave_560",3.37472281809758
"Wave_561",7.49985958139754
"Wave_562",3.87978235543864
"Wave_563",-0.546659780983505
"Wave_564",-1.46657613996772
"Wave_565",0.225152662564725
"Wave_566",1.47820187068987
"Wave_567",1.83250583609065
