"","sucrose_umol_m2.12.comps"
"(Intercept)",3.7065918320859
"Wave_500",2.62712534292525
"Wave_501",2.4796856696444
"Wave_502",2.32577144240688
"Wave_503",2.25982001221801
"Wave_504",1.98862686431988
"Wave_505",1.80513311513005
"Wave_506",1.46408065894328
"Wave_507",1.32276239970194
"Wave_508",0.934917512303199
"Wave_509",0.407309633855365
"Wave_510",0.312900226545118
"Wave_511",0.0462621214354133
"Wave_512",-0.356199587571319
"Wave_513",-0.745348931734144
"Wave_514",-0.917479432882603
"Wave_515",-1.03546465653597
"Wave_516",-1.15028822201908
"Wave_517",-1.17691628409896
"Wave_518",-1.22635825321766
"Wave_519",-1.15626485164904
"Wave_520",-1.34009702412652
"Wave_521",-1.48862615788724
"Wave_522",-1.28441417573804
"Wave_523",-0.887318813293979
"Wave_524",-0.581145061882632
"Wave_525",-0.28041635643652
"Wave_526",-0.277193533529233
"Wave_527",-0.363719557215847
"Wave_528",-0.0759953351194649
"Wave_529",0.189137823206459
"Wave_530",0.2365493488952
"Wave_531",0.241546094590916
"Wave_532",0.281395444761633
"Wave_533",0.422655634557938
"Wave_534",0.431363756826898
"Wave_535",0.495807315006116
"Wave_536",0.596968223706808
"Wave_537",0.534014791163357
"Wave_538",0.436777665912598
"Wave_539",0.390642390945657
"Wave_540",0.495108464738572
"Wave_541",0.479373377095046
"Wave_542",0.325682054464858
"Wave_543",0.427188759605412
"Wave_544",0.359043508244291
"Wave_545",0.321494623378688
"Wave_546",0.312723779830581
"Wave_547",0.298711639590419
"Wave_548",0.0797592261186899
"Wave_549",-0.0229617745533814
"Wave_550",0.15076949874582
"Wave_551",0.287788967988597
"Wave_552",0.613107966022499
"Wave_553",1.09245024786466
"Wave_554",0.980425118194223
"Wave_555",0.787889319833916
"Wave_556",0.813718654262163
"Wave_557",0.797250770332488
"Wave_558",0.622551285381439
"Wave_559",0.508395023197959
"Wave_560",0.45560533669533
"Wave_561",0.230134769371576
"Wave_562",0.128254278308466
"Wave_563",-0.101109366934069
"Wave_564",-0.342363497438214
"Wave_565",-0.419146521963649
"Wave_566",-0.597239853876994
"Wave_567",-0.602212588628349
"Wave_568",-0.725715598965233
"Wave_569",-0.868102145997543
"Wave_570",-1.14893569523016
"Wave_571",-1.32459229608636
"Wave_572",-1.38108561695567
"Wave_573",-1.37276269795299
"Wave_574",-1.48739383333669
"Wave_575",-1.57304696479372
"Wave_576",-1.72743336102715
"Wave_577",-1.84512867193418
"Wave_578",-1.76258071297634
"Wave_579",-1.67347786626389
"Wave_580",-1.60754462153045
"Wave_581",-1.50921082228478
"Wave_582",-1.48142024810226
"Wave_583",-1.38738344566034
"Wave_584",-1.38186814525732
"Wave_585",-1.31663266335055
"Wave_586",-1.21346028735271
"Wave_587",-1.2554503472005
"Wave_588",-1.22664971134722
"Wave_589",-0.993922149043501
"Wave_590",-0.744401039380314
"Wave_591",-0.605623850888474
"Wave_592",-0.501520836501019
"Wave_593",-0.27224992543596
"Wave_594",-0.228239841416018
"Wave_595",-0.126274416509765
"Wave_596",0.0752031057419377
"Wave_597",0.232909553411761
"Wave_598",0.259568689662736
"Wave_599",0.355477270482223
"Wave_600",0.483129015135087
"Wave_601",0.489290866247433
"Wave_602",0.563148961820495
"Wave_603",0.462105392622658
"Wave_604",0.44844502193121
"Wave_605",0.501852452691871
"Wave_606",0.480783638308309
"Wave_607",0.405394506795506
"Wave_608",0.298585192899821
"Wave_609",0.209082043493533
"Wave_610",0.12819125386891
"Wave_611",-0.0085348501419682
"Wave_612",-0.053950970526479
"Wave_613",-0.0855108864605797
"Wave_614",-0.129309810214713
"Wave_615",-0.218956228112818
"Wave_616",-0.22847256832173
"Wave_617",-0.216904887270043
"Wave_618",-0.289826462581101
"Wave_619",-0.269693796716821
"Wave_620",-0.341883917939197
"Wave_621",-0.31399530124878
"Wave_622",-0.148685876704077
"Wave_623",-0.089775647224445
"Wave_624",-0.12378120041682
"Wave_625",-0.13219723901077
"Wave_626",-0.128048473135713
"Wave_627",-0.0998303732105801
"Wave_628",-0.0350387330219339
"Wave_629",-0.0195512317683275
"Wave_630",0.0894924437977907
"Wave_631",0.199148007938305
"Wave_632",0.317901017019057
"Wave_633",0.323650839743546
"Wave_634",0.410736334859472
"Wave_635",0.666797653225006
"Wave_636",0.952203814324121
"Wave_637",1.18251436465996
"Wave_638",1.41834239892521
"Wave_639",1.65995960315619
"Wave_640",1.86215662421421
"Wave_641",1.98039181369138
"Wave_642",2.21398353780855
"Wave_643",2.57504073838329
"Wave_644",2.86327929758114
"Wave_645",3.00540485311521
"Wave_646",3.10663658730468
"Wave_647",3.18710128157337
"Wave_648",3.17303943478372
"Wave_649",3.25530025706015
"Wave_650",3.28259995369219
"Wave_651",3.1823780561317
"Wave_652",3.17011888362782
"Wave_653",3.10188710213218
"Wave_654",3.08404401905149
"Wave_655",3.00799552814096
"Wave_656",2.66333062873196
"Wave_657",2.3876334312912
"Wave_658",2.13660526005172
"Wave_659",1.9994532248504
"Wave_660",1.89029638591194
"Wave_661",1.8238879060932
"Wave_662",1.73228263148054
"Wave_663",1.44711722505821
"Wave_664",1.03649206468531
"Wave_665",0.703414435470526
"Wave_666",0.466610816396558
"Wave_667",0.253384656572355
"Wave_668",0.114003763156128
"Wave_669",-0.0464511852156785
"Wave_670",-0.282571143115354
"Wave_671",-0.553830874116387
"Wave_672",-0.895436396324164
"Wave_673",-1.10480710913948
"Wave_674",-1.23702484436683
"Wave_675",-1.51430659275734
"Wave_676",-1.68696019481679
"Wave_677",-1.85879421396992
"Wave_678",-2.12790416805213
"Wave_679",-2.2238348553307
"Wave_680",-2.32506371644509
"Wave_681",-2.33914533457724
"Wave_682",-2.23050853706596
"Wave_683",-2.02269706262568
"Wave_684",-1.87354773242431
"Wave_685",-1.72925808926825
"Wave_686",-1.56753351586141
"Wave_687",-1.51120076266068
"Wave_688",-1.4614711688378
"Wave_689",-1.3413462468326
"Wave_690",-1.51110628283493
"Wave_691",-1.93984227151476
"Wave_692",-2.13376106587414
"Wave_693",-2.4513112196991
"Wave_694",-2.78733169262315
"Wave_695",-2.82524866984046
"Wave_696",-2.8880213213269
"Wave_697",-2.92973222381039
"Wave_698",-2.6664776708571
"Wave_699",-2.38153718476017
"Wave_700",-2.18951341153735
"Wave_701",-1.58508984636432
"Wave_702",-1.07666266806438
"Wave_703",-0.482709245015616
"Wave_704",-0.0407443585691213
"Wave_705",0.646112762508678
"Wave_706",1.13672616805643
"Wave_707",1.58227880487796
"Wave_708",1.78396075176972
"Wave_709",2.14091621528259
"Wave_710",2.50497929932605
"Wave_711",2.79329235730765
"Wave_712",2.73279592111293
"Wave_713",2.73298859401285
"Wave_714",2.82776572360021
"Wave_715",2.67718017591938
"Wave_716",2.6568873499125
"Wave_717",2.56808835135143
"Wave_718",2.05639350570017
"Wave_719",1.5696832678267
"Wave_720",1.21874863233708
"Wave_721",0.899238575599957
"Wave_722",0.586360360063048
"Wave_723",0.355968473729645
"Wave_724",-0.0710478914323791
"Wave_725",-0.629173352020525
"Wave_726",-0.895837272135415
"Wave_727",-1.26128840726049
"Wave_728",-1.44214346555156
"Wave_729",-1.56481498532292
"Wave_730",-1.61542418428698
"Wave_731",-1.88661014607456
"Wave_732",-2.32120708585402
"Wave_733",-2.5091060835157
"Wave_734",-2.23062366783994
"Wave_735",-2.185091607913
"Wave_736",-2.02412597222829
"Wave_737",-1.76739217589685
"Wave_738",-1.73944383327514
"Wave_739",-1.77520275310629
"Wave_740",-1.59919649288306
"Wave_741",-1.57843081911481
"Wave_742",-1.47370525960372
"Wave_743",-1.56570376613635
"Wave_744",-1.28354239335652
"Wave_745",-1.06119547668172
"Wave_746",-0.908357041215085
"Wave_747",-0.842394297626835
"Wave_748",-0.587382092506542
"Wave_749",-0.297494651774399
"Wave_750",-0.190603859494674
"Wave_751",-0.370929103818742
"Wave_752",-0.314915172318285
"Wave_753",-0.304517411807393
"Wave_754",-0.128932845678512
"Wave_755",0.0428062859425758
"Wave_756",-0.0822835464848219
"Wave_757",-0.188102360944332
"Wave_758",-0.0583283889188033
"Wave_759",-0.0841789797169344
"Wave_760",-0.0472106190106203
"Wave_761",0.131268302902228
"Wave_762",0.302774909822634
"Wave_763",0.468234856285118
"Wave_764",0.406409759318639
"Wave_765",0.576402712352401
"Wave_766",0.515269284349348
"Wave_767",0.55799728875993
"Wave_768",0.777106050645987
"Wave_769",0.736889095868258
"Wave_770",0.906643277858799
"Wave_771",0.970535394956566
"Wave_772",0.922272990852332
"Wave_773",0.867065005511498
"Wave_774",0.906204408303571
"Wave_775",1.08298371832922
"Wave_776",1.12009233581159
"Wave_777",1.23333785910857
"Wave_778",1.2023497919874
"Wave_779",1.04576018038514
"Wave_780",1.07350108910164
"Wave_781",1.33041081057121
"Wave_782",1.3036258314122
"Wave_783",1.08231445877154
"Wave_784",1.19634111187032
"Wave_785",1.08472880877339
"Wave_786",1.24886901421372
"Wave_787",1.33555624300752
"Wave_788",1.3867753401555
"Wave_789",1.23484525134869
"Wave_790",1.23562486508209
"Wave_791",1.19263532039976
"Wave_792",1.36046338814213
"Wave_793",1.48104682789031
"Wave_794",1.40248655932291
"Wave_795",1.3453909561095
"Wave_796",1.21112212270954
"Wave_797",1.23288188084325
"Wave_798",1.19899305291075
"Wave_799",1.12455385048197
"Wave_800",1.10801151886398
"Wave_801",1.19049018177246
"Wave_802",1.20087397755606
"Wave_803",1.0617214567667
"Wave_804",1.21582641056491
"Wave_805",1.02289525873226
"Wave_806",1.24474870753101
"Wave_807",1.36090734065121
"Wave_808",1.19656052643531
"Wave_809",1.03544244066738
"Wave_810",1.00588623778731
"Wave_811",1.01710634851802
"Wave_812",0.927374574929829
"Wave_813",0.882409500888503
"Wave_814",0.852464161268701
"Wave_815",0.714094929018773
"Wave_816",0.684816808948574
"Wave_817",0.731615039594338
"Wave_818",0.808417600951516
"Wave_819",0.672181722196945
"Wave_820",0.682253236646563
"Wave_821",0.357358413086974
"Wave_822",-0.0045552339050267
"Wave_823",0.0478401766537432
"Wave_824",0.34187546543861
"Wave_825",0.517259100837116
"Wave_826",0.480239000314067
"Wave_827",0.0236786890708021
"Wave_828",-0.186665357532236
"Wave_829",0.292385312393728
"Wave_830",0.548357379022175
"Wave_831",0.576416592792613
"Wave_832",0.290935969952214
"Wave_833",0.228766496128513
"Wave_834",-0.110306592645914
"Wave_835",-0.242849236954637
"Wave_836",-0.284500988571256
"Wave_837",-0.101740532866417
"Wave_838",-0.0853572752468613
