"","all_carb_m2.12.comps"
"(Intercept)",60.7627287987391
"Wave_500",56.6888948297598
"Wave_501",59.7071279798561
"Wave_502",56.3826827093872
"Wave_503",44.9119258258783
"Wave_504",39.2276582435311
"Wave_505",40.2847155596531
"Wave_506",36.8474256029546
"Wave_507",33.7132991188034
"Wave_508",33.878833052275
"Wave_509",31.2421750499354
"Wave_510",26.5150852739758
"Wave_511",20.1106071450017
"Wave_512",13.7289965783995
"Wave_513",12.0762772263006
"Wave_514",7.36495897461415
"Wave_515",3.32936809521814
"Wave_516",-7.4239402360262
"Wave_517",-15.7746768599019
"Wave_518",-20.6100312822268
"Wave_519",-23.130469222702
"Wave_520",-24.6201307735527
"Wave_521",-25.1692367497225
"Wave_522",-26.8630919260015
"Wave_523",-24.2838448279226
"Wave_524",-30.2394068928379
"Wave_525",-33.6064367838528
"Wave_526",-35.2136063064123
"Wave_527",-31.2614618083154
"Wave_528",-29.7063051055162
"Wave_529",-27.6343940177706
"Wave_530",-22.3140367130806
"Wave_531",-18.8742361914999
"Wave_532",-17.2904221070856
"Wave_533",-13.5840801748643
"Wave_534",-10.2486442874586
"Wave_535",-7.79294569742883
"Wave_536",-3.17512138847338
"Wave_537",0.183496811496971
"Wave_538",3.27847228598617
"Wave_539",7.18774131446988
"Wave_540",5.6626175293455
"Wave_541",5.91298008383192
"Wave_542",5.14185487613824
"Wave_543",9.19944861486136
"Wave_544",13.7647070006732
"Wave_545",19.1224453291474
"Wave_546",17.0580293418041
"Wave_547",15.3116074022451
"Wave_548",12.2167738378063
"Wave_549",10.8877246001437
"Wave_550",12.0810016233778
"Wave_551",14.6463937426783
"Wave_552",21.1369063707013
"Wave_553",23.2549233202789
"Wave_554",21.7967486724502
"Wave_555",16.0796404156313
"Wave_556",10.6655374803068
"Wave_557",11.4533240342342
"Wave_558",14.2524762658509
"Wave_559",14.314994014151
"Wave_560",12.2916704944833
"Wave_561",13.9511864448166
"Wave_562",10.3964266192138
"Wave_563",3.91656078705469
"Wave_564",-2.29188635220231
"Wave_565",-2.35342381059415
"Wave_566",-3.46144682426794
"Wave_567",-3.8423510706132
"Wave_568",-6.75212801335828
"Wave_569",-9.03914318398345
"Wave_570",-12.2555883112495
"Wave_571",-17.2730190050484
"Wave_572",-15.9262543842487
"Wave_573",-13.2336872589666
"Wave_574",-14.3746277373261
"Wave_575",-13.2750508087557
"Wave_576",-11.9603971514559
"Wave_577",-12.5074758594118
"Wave_578",-10.8001025179569
"Wave_579",-10.5624448088918
"Wave_580",-10.3605428696438
"Wave_581",-7.87457839036248
"Wave_582",-5.04307342723459
"Wave_583",-6.05122215446402
"Wave_584",-7.17685457124807
"Wave_585",-7.46018130207039
"Wave_586",-7.96297578083266
"Wave_587",-8.93519753243156
"Wave_588",-9.35086487014934
"Wave_589",-7.13863919353301
"Wave_590",-3.43528425596037
"Wave_591",-1.0407822038649
"Wave_592",-1.3854000420169
"Wave_593",-2.40650514185127
"Wave_594",-5.43372582324106
"Wave_595",-6.22673866570071
"Wave_596",-3.69159604203919
"Wave_597",-2.28943849761235
"Wave_598",-4.26092362966503
"Wave_599",-6.24538755190802
"Wave_600",-5.30599381084391
"Wave_601",-6.8713923286242
"Wave_602",-8.47117672904179
"Wave_603",-7.91396185958848
"Wave_604",-6.86637477440377
"Wave_605",-10.4678712669504
"Wave_606",-11.7360052209745
"Wave_607",-10.4664450857257
"Wave_608",-6.81548879341474
"Wave_609",-5.75671445914628
"Wave_610",-5.93656190098996
"Wave_611",-3.72859714980071
"Wave_612",-4.62777398986512
"Wave_613",-4.11818622434307
"Wave_614",-1.52103446910359
"Wave_615",1.80228574445663
"Wave_616",2.48702585357073
"Wave_617",3.71181511446552
"Wave_618",6.97922065353574
"Wave_619",7.89930573284352
"Wave_620",9.25220061820918
"Wave_621",11.7256428039942
"Wave_622",15.0197875586068
"Wave_623",14.8842072632802
"Wave_624",14.2354464579344
"Wave_625",14.3474001776696
"Wave_626",12.4354975488606
"Wave_627",12.8351687131709
"Wave_628",15.6580641908288
"Wave_629",16.0108865068597
"Wave_630",15.9641575419188
"Wave_631",15.5356987421433
"Wave_632",13.7134999530515
"Wave_633",11.3620075028411
"Wave_634",8.60676749413797
"Wave_635",7.56093181927592
"Wave_636",9.22286701532467
"Wave_637",9.31387532178589
"Wave_638",9.75773894718435
"Wave_639",7.7271802252328
"Wave_640",5.85821492191336
"Wave_641",3.72502079872712
"Wave_642",4.35333847230593
"Wave_643",5.43890452648058
"Wave_644",6.06820380500046
"Wave_645",8.17505488914551
"Wave_646",8.4846732999194
"Wave_647",6.60176877031526
"Wave_648",7.78724798820546
"Wave_649",8.90275580684922
"Wave_650",9.2637597130563
"Wave_651",11.3443184962175
"Wave_652",13.1111372921929
"Wave_653",10.5179438687287
"Wave_654",7.79659864030063
"Wave_655",9.57919756934168
"Wave_656",12.2672723298155
"Wave_657",16.007480801385
"Wave_658",20.2115326754897
"Wave_659",22.7303559106942
"Wave_660",23.8129111638936
"Wave_661",25.9717441139869
"Wave_662",27.3023073737968
"Wave_663",31.5907808902378
"Wave_664",36.0541231018648
"Wave_665",36.729806862149
"Wave_666",35.4014795555265
"Wave_667",33.3798405531966
"Wave_668",32.4289089687799
"Wave_669",31.3517049202757
"Wave_670",30.6983883571236
"Wave_671",27.6250526174479
"Wave_672",26.1711515814588
"Wave_673",24.6202537908427
"Wave_674",21.3926360567427
"Wave_675",15.0464115527379
"Wave_676",10.5747620126439
"Wave_677",4.59960753571567
"Wave_678",-1.60789001292535
"Wave_679",-6.07659648016274
"Wave_680",-10.124679364413
"Wave_681",-13.4984552505904
"Wave_682",-16.2275788440689
"Wave_683",-16.2897070388401
"Wave_684",-18.3738396042452
"Wave_685",-23.1154626692143
"Wave_686",-25.7767846780495
"Wave_687",-24.1209759030071
"Wave_688",-25.1316503806643
"Wave_689",-28.0446930992017
"Wave_690",-30.8826630077825
"Wave_691",-34.8945789625288
"Wave_692",-41.8671703774156
"Wave_693",-46.8023174030182
"Wave_694",-49.994571360912
"Wave_695",-54.4565197675768
"Wave_696",-61.8550362536249
"Wave_697",-63.9705210710977
"Wave_698",-61.9379136112604
"Wave_699",-59.806597320385
"Wave_700",-54.5099963491493
"Wave_701",-51.099505944328
"Wave_702",-46.9198477354193
"Wave_703",-35.4167944279984
"Wave_704",-22.0966240423526
"Wave_705",-12.4997055471595
"Wave_706",-0.519891332433989
"Wave_707",10.5562416271243
"Wave_708",23.0587938316124
"Wave_709",32.7702088874829
"Wave_710",43.9274384852482
"Wave_711",51.4287372094084
"Wave_712",59.5463074725069
"Wave_713",63.9025546128962
"Wave_714",70.295767812227
"Wave_715",68.5167765992361
"Wave_716",65.832685892678
"Wave_717",60.2616806432075
"Wave_718",58.0730763596967
"Wave_719",53.9713527976964
"Wave_720",46.3173737563934
"Wave_721",40.5268777244378
"Wave_722",36.163779548454
"Wave_723",27.2400450248666
"Wave_724",18.6542661891681
"Wave_725",7.70733903578064
"Wave_726",-1.74058115539348
"Wave_727",-7.8385690600818
"Wave_728",-16.3765006026899
"Wave_729",-24.5965613231032
"Wave_730",-33.5073833172301
"Wave_731",-40.091695924345
"Wave_732",-48.1634772707362
"Wave_733",-54.5074718786952
"Wave_734",-59.8212525129721
"Wave_735",-66.0371727631543
"Wave_736",-65.9974048304661
"Wave_737",-66.9833262134547
"Wave_738",-66.0490788706701
"Wave_739",-65.8951387258933
"Wave_740",-62.7779886524199
"Wave_741",-62.3261053834318
"Wave_742",-64.7103439305268
"Wave_743",-70.6882447452158
"Wave_744",-65.1402929059401
"Wave_745",-56.8248359858171
"Wave_746",-49.1685505039566
"Wave_747",-49.1878825308101
"Wave_748",-43.6683492874715
"Wave_749",-41.5432081325822
"Wave_750",-40.216612783548
"Wave_751",-41.3765246964886
"Wave_752",-44.2062887659527
"Wave_753",-37.865794251982
"Wave_754",-31.1486941965119
"Wave_755",-27.6119630306013
"Wave_756",-28.227102173609
"Wave_757",-26.1261624301158
"Wave_758",-27.0354762520956
"Wave_759",-23.5081164601423
"Wave_760",-14.7699005279993
"Wave_761",-12.5728595585337
"Wave_762",-8.17402507728499
"Wave_763",-3.65071567020494
"Wave_764",-1.65013735689714
"Wave_765",-0.830069510001929
"Wave_766",-0.509699169274738
"Wave_767",2.76244115009218
"Wave_768",6.31033717048768
"Wave_769",6.24539070756784
"Wave_770",8.93248085529366
"Wave_771",11.9364057696409
"Wave_772",9.52128720982223
"Wave_773",8.83658550393001
"Wave_774",12.4034491017257
"Wave_775",16.292042479044
"Wave_776",22.0849701631256
"Wave_777",23.0000001904091
"Wave_778",15.5614940775699
"Wave_779",15.124335266706
"Wave_780",21.7118291098704
"Wave_781",27.9607569728005
"Wave_782",24.8217517505549
"Wave_783",26.7770062400804
"Wave_784",26.6118520190289
"Wave_785",25.359690972729
"Wave_786",21.418392414381
"Wave_787",25.8215565783011
"Wave_788",27.1657455198578
"Wave_789",29.2772929684985
"Wave_790",30.6936838311874
"Wave_791",30.1714711123449
"Wave_792",31.0586779290844
"Wave_793",31.5940707298149
"Wave_794",30.4080774004318
"Wave_795",31.182479066957
"Wave_796",31.509113931142
"Wave_797",31.4106489273678
"Wave_798",32.5893416291752
"Wave_799",33.4862873938712
"Wave_800",30.966614325015
"Wave_801",30.7434259412594
"Wave_802",28.718065262921
"Wave_803",29.7597993528196
"Wave_804",34.0076762582009
"Wave_805",36.3325724847432
"Wave_806",42.451720674406
"Wave_807",37.4908239997804
"Wave_808",34.3701351272826
"Wave_809",32.7264661061405
"Wave_810",34.7849804668883
"Wave_811",36.0787683601128
"Wave_812",37.7607032184267
"Wave_813",37.4774467895601
"Wave_814",37.2595518526296
"Wave_815",36.8815114406986
"Wave_816",37.4286772422131
"Wave_817",32.2284083019014
"Wave_818",32.0924059409998
"Wave_819",33.3336496898018
"Wave_820",34.379208355344
