"","all_sug_m2.14.comps"
"(Intercept)",5.8025614222117
"Wave_500",2.09437219630064
"Wave_501",2.30082825596231
"Wave_502",2.22714747065896
"Wave_503",1.88199942018411
"Wave_504",1.37261206018874
"Wave_505",1.45935811472811
"Wave_506",1.18797143475674
"Wave_507",1.06929307745301
"Wave_508",0.640067890489069
"Wave_509",0.199764914286608
"Wave_510",0.653312549436896
"Wave_511",0.390083770802228
"Wave_512",-0.453811236972373
"Wave_513",-1.08998643558107
"Wave_514",-1.18615058545394
"Wave_515",-0.827595879923253
"Wave_516",-1.16041352107813
"Wave_517",-1.25978990239174
"Wave_518",-1.26603478430505
"Wave_519",-1.11593808992358
"Wave_520",-1.29340395529607
"Wave_521",-1.25895581974158
"Wave_522",-0.81297476585303
"Wave_523",0.0308335046247612
"Wave_524",-0.0414957343748128
"Wave_525",0.153956123251913
"Wave_526",0.112598833755683
"Wave_527",0.105516736400606
"Wave_528",0.599951411788795
"Wave_529",0.777291221410108
"Wave_530",1.10995277482361
"Wave_531",1.07659750504894
"Wave_532",1.06270065270958
"Wave_533",1.47035681227846
"Wave_534",1.33760576855334
"Wave_535",1.34825576513608
"Wave_536",1.43072677692477
"Wave_537",1.33365815892873
"Wave_538",1.2153937311175
"Wave_539",1.26601991186925
"Wave_540",1.00514256572548
"Wave_541",0.892254405209658
"Wave_542",0.749252312183009
"Wave_543",0.795846280457823
"Wave_544",0.803772749040034
"Wave_545",0.806021757468818
"Wave_546",0.636305500062254
"Wave_547",0.559026316525203
"Wave_548",-0.0891778680913106
"Wave_549",-0.565928772930728
"Wave_550",-0.398719032894061
"Wave_551",-0.295258464428347
"Wave_552",0.532197277406489
"Wave_553",1.60191482574308
"Wave_554",1.40872059193857
"Wave_555",1.16073645716269
"Wave_556",1.17894724196946
"Wave_557",1.27031665875532
"Wave_558",1.16122581677906
"Wave_559",1.02952971496052
"Wave_560",1.0477196828974
"Wave_561",0.702873146602777
"Wave_562",0.731161516489296
"Wave_563",0.0281754216475052
"Wave_564",-0.964409508089949
"Wave_565",-1.24905004837373
"Wave_566",-1.70179164269013
"Wave_567",-1.91555443260737
"Wave_568",-2.27787045487657
"Wave_569",-2.59263352770063
"Wave_570",-3.1905343248755
"Wave_571",-3.47433679957702
"Wave_572",-3.48940841880006
"Wave_573",-3.40638784238393
"Wave_574",-3.44630927116263
"Wave_575",-3.29797508529715
"Wave_576",-3.60042477805135
"Wave_577",-3.72845767055935
"Wave_578",-3.36163508021454
"Wave_579",-3.29244500766283
"Wave_580",-3.07767812734724
"Wave_581",-2.8416364819877
"Wave_582",-2.79525645702753
"Wave_583",-2.91517526145389
"Wave_584",-2.90846213067178
"Wave_585",-2.47869293040782
"Wave_586",-2.31921310552369
"Wave_587",-2.5802188223055
"Wave_588",-2.71465923011175
"Wave_589",-2.49660921720455
"Wave_590",-1.89422489463704
"Wave_591",-1.57381879464821
"Wave_592",-1.52994475046724
"Wave_593",-1.21459858729005
"Wave_594",-1.20601171596759
"Wave_595",-1.17213621226521
"Wave_596",-0.868512377428324
"Wave_597",-0.785306553992989
"Wave_598",-0.858972380286494
"Wave_599",-0.695379957523618
"Wave_600",-0.353107015830429
"Wave_601",-0.0964360919188357
"Wave_602",0.0525379674879102
"Wave_603",-0.382148825269225
"Wave_604",-0.372901763398481
"Wave_605",-0.307847954750853
"Wave_606",-0.153185710976606
"Wave_607",0.0136399494453482
"Wave_608",0.221389873791416
"Wave_609",0.175442866735689
"Wave_610",-0.0841835170479907
"Wave_611",-0.146012424694976
"Wave_612",0.0284255097112043
"Wave_613",0.158331352692185
"Wave_614",0.26501938585169
"Wave_615",0.424745613952633
"Wave_616",0.459720716292581
"Wave_617",0.467450653723339
"Wave_618",0.45574153144983
"Wave_619",0.481308514741937
"Wave_620",0.460210612122655
"Wave_621",0.636742999979908
"Wave_622",1.18291896730005
"Wave_623",1.21420146312025
"Wave_624",1.02726234626703
"Wave_625",1.0055140450436
"Wave_626",0.983016259193335
"Wave_627",0.952605221331171
"Wave_628",1.10762087118202
"Wave_629",1.22154624028112
"Wave_630",1.24703290929213
"Wave_631",1.39217595879431
"Wave_632",1.57560683320011
"Wave_633",1.45202761238253
"Wave_634",1.31542441781858
"Wave_635",1.53646536111755
"Wave_636",1.91035246389592
"Wave_637",2.14046061910552
"Wave_638",2.40109256580046
"Wave_639",2.61631322633717
"Wave_640",2.77620153317246
"Wave_641",2.80564856590503
"Wave_642",3.08923351879551
"Wave_643",3.46117850044721
"Wave_644",3.78563544448425
"Wave_645",4.06787305526466
"Wave_646",4.18678128958309
"Wave_647",4.14326342977007
"Wave_648",4.26789588800279
"Wave_649",4.39980174008932
"Wave_650",4.54162637765203
"Wave_651",4.41374511891667
"Wave_652",4.44608652128881
"Wave_653",4.23264546689362
"Wave_654",4.16293603904906
"Wave_655",4.14318121187485
"Wave_656",3.93375825169482
"Wave_657",3.81297557013827
"Wave_658",3.65509146363881
"Wave_659",3.52253960200712
"Wave_660",3.202831404957
"Wave_661",3.1090860633508
"Wave_662",3.02270462567398
"Wave_663",2.94335046498818
"Wave_664",2.65784025463328
"Wave_665",2.26993664070312
"Wave_666",1.92639376865525
"Wave_667",1.42780493983948
"Wave_668",1.17425426326359
"Wave_669",0.890920383442151
"Wave_670",0.582424443857512
"Wave_671",0.162077638638725
"Wave_672",-0.202005014911856
"Wave_673",-0.369126465052222
"Wave_674",-0.642618550736027
"Wave_675",-1.47805288489334
"Wave_676",-1.87005139954895
"Wave_677",-2.39275913490444
"Wave_678",-3.12256750975374
"Wave_679",-3.23865258378719
"Wave_680",-3.41352538818509
"Wave_681",-3.45270456046438
"Wave_682",-3.3521064638698
"Wave_683",-3.19751542723706
"Wave_684",-3.01523703701535
"Wave_685",-2.92419577556392
"Wave_686",-2.74282400469741
"Wave_687",-2.40230565444493
"Wave_688",-1.90758610235648
"Wave_689",-1.39449237733849
"Wave_690",-1.31997132632121
"Wave_691",-1.75950683774718
"Wave_692",-1.90106686997123
"Wave_693",-2.16902794070068
"Wave_694",-2.61343780786551
"Wave_695",-2.73024422761324
"Wave_696",-3.24220880055313
"Wave_697",-3.59156811691795
"Wave_698",-3.43067964989876
"Wave_699",-3.40555514017718
"Wave_700",-3.45848874099457
"Wave_701",-2.90931509260649
"Wave_702",-2.61369132959832
"Wave_703",-1.82493505240784
"Wave_704",-1.29789789451804
"Wave_705",-0.451206092802453
"Wave_706",0.342463203474709
"Wave_707",1.07665043927122
"Wave_708",1.54231272782509
"Wave_709",2.24603678471665
"Wave_710",3.07265412172177
"Wave_711",3.48818795556444
"Wave_712",3.58121580158542
"Wave_713",3.7436508782613
"Wave_714",4.41465121668701
"Wave_715",4.35402189307154
"Wave_716",4.4068822272589
"Wave_717",4.19729495292945
"Wave_718",3.45559701723049
"Wave_719",2.80067243741566
"Wave_720",2.43986968816425
"Wave_721",2.11270611331993
"Wave_722",1.70480439129311
"Wave_723",1.61335911637345
"Wave_724",1.36317750989083
"Wave_725",0.806972782713878
"Wave_726",0.500935940412764
"Wave_727",0.0387379248583879
"Wave_728",-0.204684625137753
"Wave_729",-0.678860053380601
"Wave_730",-1.27237113877944
"Wave_731",-1.84457301035733
"Wave_732",-2.47338645942743
"Wave_733",-3.0878630299857
"Wave_734",-3.00414812901686
"Wave_735",-3.32467074850403
"Wave_736",-3.14574803002896
"Wave_737",-3.25921517039971
"Wave_738",-4.07558366019455
"Wave_739",-4.22674648173108
"Wave_740",-3.45892631679859
"Wave_741",-3.29460196770853
"Wave_742",-3.15674892370426
"Wave_743",-3.49249694257837
"Wave_744",-2.67931232894864
"Wave_745",-2.21642993395379
"Wave_746",-2.0030410003438
